"tree_id","plot_id","species","tag","tree_status","notes"
"TC305DG_001_cap1","TC305DG","rm",,,
"TC305DG_002_cap1","TC305DG","rm",,,
"TC305DG_003_cap1","TC305DG","rm",,,
"TC305DG_004_cap1","TC305DG","rm",,,
"TC305DG_005_cap1","TC305DG","rm",,,
"TC305DG_006_cap1","TC305DG","rm",,,
"TC305DG_007_cap1","TC305DG","rm",,,
"TC305DG_008_cap1","TC305DG","rm",,,
"TC305DG_009_cap1","TC305DG","rm",,,
"TC305DG_010_cap1","TC305DG","rm",,,
"TC305DG_011_cap1","TC305DG","rm",,,
"TC305DG_012_cap1","TC305DG","rm",,,
"TC305DG_013_cap1","TC305DG","rm",,,
"TC305DG_014_cap1","TC305DG","rm",,,
"TC305DG_015_cap1","TC305DG","rm",,,
"TC305DG_016_cap1","TC305DG","rm",,,
"TC305DG_017_cap1","TC305DG","rm",,,
"TC305DG_018_cap1","TC305DG","rm",,,
"TC305DG_019_cap1","TC305DG","rm",,,
"TC305DG_020_cap1","TC305DG","rm",,,
"TC305DG_021_cap1","TC305DG","rm",,,
"TC305DG_022_cap1","TC305DG","rm",,,
"TC305DG_023_cap1","TC305DG","rm",,,
"TC305DG_024_cap1","TC305DG","rm",,,
"TC305DG_025_cap1","TC305DG","rm",,,
"TC305DG_026_cap1","TC305DG","rm",,,
"TC305DG_027_cap1","TC305DG","rm",,,
"TC305DG_028_cap1","TC305DG","rm",,,
"TC305DG_029_cap1","TC305DG","rm",,,
"TC305DG_030_cap1","TC305DG","rm",,,
"TC305DG_031_cap1","TC305DG","rm",,,
"TC305DG_032_cap1","TC305DG","ag",,,
"TC305DG_033_cap1","TC305DG","ag",,,
"TC305DG_034_cap1","TC305DG","ag",,,
"TC305DG_035_cap1","TC305DG","ag",,,
"TC305DG_036_cap1","TC305DG","ag",,,
"TC305DG_037_cap1","TC305DG","ag",,,
"TC305DG_038_cap1","TC305DG","ag",,,
"TC305DG_039_cap1","TC305DG","ag",,,
"TC306DG_040_cap1","TC306DG","rm",,,
"TC306DG_041_cap1","TC306DG","rm",,,
"TC306DG_042_cap1","TC306DG","rm",,,
"TC306DG_043_cap1","TC306DG","rm",,,
"TC306DG_044_cap1","TC306DG","rm",,,
"TC306DG_045_cap1","TC306DG","rm",,,
"TC306DG_046_cap1","TC306DG","rm",,,
"TC306DG_047_cap1","TC306DG","rm",,,
"TC306DG_048_cap1","TC306DG","rm",,,
"TC306DG_049_cap1","TC306DG","rm",,,
"TC306DG_050_cap1","TC306DG","rm",,,
"TC306DG_051_cap1","TC306DG","rm",,,
"TC306DG_052_cap1","TC306DG","rm",,,
"TC306DG_053_cap1","TC306DG","rm",,,
"TC306DG_054_cap1","TC306DG","rm",,,
"TC306DG_055_cap1","TC306DG","rm",,,
"TC306DG_056_cap1","TC306DG","rm",,,
"TC306DG_057_cap1","TC306DG","rm",,,
"TC306DG_058_cap1","TC306DG","rm",,,
"TC306DG_059_cap1","TC306DG","rm",,,
"TC306DG_060_cap1","TC306DG","rm",,,
"TC306DG_061_cap1","TC306DG","rm",,,
"TC306DG_062_cap1","TC306DG","rm",,,
"TC306DG_063_cap1","TC306DG","rm",,,
"TC306DG_064_cap1","TC306DG","rm",,,
"TC306DG_065_cap1","TC306DG","rm",,,
"TC306DG_066_cap1","TC306DG","rm",,,
"TC306DG_067_cap1","TC306DG","rm",,,
"TC306DG_068_cap1","TC306DG","ag",,,
"TC306DG_069_cap1","TC306DG","ag",,,
"TC306DG_070_cap1","TC306DG","ag",,,
"TC306DG_071_cap1","TC306DG","ag",,,
"TC308DG_072_cap1","TC308DG","rm",,,
"TC308DG_073_cap1","TC308DG","rm",,,
"TC308DG_074_cap1","TC308DG","rm",,,
"TC308DG_075_cap1","TC308DG","rm",,,
"TC308DG_076_cap1","TC308DG","rm",,,
"TC308DG_077_cap1","TC308DG","rm",,,
"TC308DG_078_cap1","TC308DG","rm",,,
"TC308DG_079_cap1","TC308DG","rm",,,
"TC308DG_080_cap1","TC308DG","rm",,,
"TC308DG_081_cap1","TC308DG","rm",,,
"TC308DG_082_cap1","TC308DG","rm",,,
"TC308DG_083_cap1","TC308DG","rm",,,
"TC308DG_084_cap1","TC308DG","rm",,,
"TC308DG_085_cap1","TC308DG","rm",,,
"TC308DG_086_cap1","TC308DG","rm",,,
"TC308DG_087_cap1","TC308DG","rm",,,
"TC308DG_088_cap1","TC308DG","rm",,,
"TC308DG_089_cap1","TC308DG","rm",,,
"TC308DG_090_cap1","TC308DG","rm",,,
"TC308DG_091_cap1","TC308DG","rm",,,
"TC308DG_092_cap1","TC308DG","rm",,,
"TC308DG_093_cap1","TC308DG","rm",,,
"TC308DG_094_cap1","TC308DG","rm",,,
"TC308DG_095_cap1","TC308DG","rm",,,
"TC308DG_096_cap1","TC308DG","rm",,,
"TC308DG_097_cap1","TC308DG","rm",,,
"TC308DG_098_cap1","TC308DG","rm",,,
"TC308DG_099_cap1","TC308DG","rm",,,
"TC308DG_100_cap1","TC308DG","rm",,,
"TC308DG_101_cap1","TC308DG","rm",,,
"TC308DG_102_cap1","TC308DG","rm",,,
"TC308DG_103_cap1","TC308DG","rm",,,
"TC308DG_104_cap1","TC308DG","rm",,,
"TC308DG_105_cap1","TC308DG","rm",,,
"TC308DG_106_cap1","TC308DG","rm",,,
"TC308DG_107_cap1","TC308DG","rm",,,
"TC308DG_108_cap1","TC308DG","rm",,,
"TC308DG_109_cap1","TC308DG","rm",,,
"TC308DG_110_cap1","TC308DG","rm",,,
"TC308DG_111_cap1","TC308DG","rm",,,
"TC308DG_112_cap1","TC308DG","rm",,,
"TC308DG_113_cap1","TC308DG","rm",,,
"TC308DG_114_cap1","TC308DG","rm",,,
"TC308DG_115_cap1","TC308DG","ag",,,
"TC308DG_116_cap1","TC308DG","ag",,,
"TC308DG_117_cap1","TC308DG","ag",,,
"TC308DG_118_cap1","TC308DG","ag",,,
"TC308DG_119_cap1","TC308DG","ag",,,
"TC308DG_120_cap1","TC308DG","ag",,,
"TC308DG_121_cap1","TC308DG","ag",,,
"TC308DG_122_cap1","TC308DG","ag",,,
"TC308DG_123_cap1","TC308DG","LG",,,
"TC308DG_124_cap1","TC308DG","LG",,,
"TC309DG_125_cap1","TC309DG","rm",,,
"TC309DG_126_cap1","TC309DG","rm",,,
"TC309DG_127_cap1","TC309DG","rm",,,
