campaign_id,tree_id,dbh_cm,height_m,crown_diam_m,wood_density_g_cm3,tree_status_obs,notes.x,plot_id,species,tag,tree_status,notes.y,wood_density_g_cm3_ref,species_common_name,reference,notes,wood_density_final,AGB_kg,C_AGB_kg
TRAC_01_TC305DG,TC305DG_001_cap1,14.4512688327441,12,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,159.37949239956401,76.50215635179073
TRAC_01_TC305DG,TC305DG_002_cap1,1.90985931710274,2,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1.0973043913930336,0.5267061078686561
TRAC_01_TC305DG,TC305DG_003_cap1,6.36619772367581,6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,21.213329151029846,10.182397992494327
TRAC_01_TC305DG,TC305DG_004_cap1,4.13802852038928,2,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,7.351495368732729,3.5287177769917095
TRAC_01_TC305DG,TC305DG_005_cap1,6.6845076098596,6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,23.918531175817836,11.480894964392562
TRAC_01_TC305DG,TC305DG_006_cap1,6.11154981472878,5.6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,19.18651351500875,9.209526487204199
TRAC_01_TC305DG,TC305DG_007_cap1,30.8760589598277,21,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1031.652672586929,495.1932828417259
TRAC_01_TC305DG,TC305DG_008_cap1,8.2123950635418,5.5,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,39.68802777554737,19.050253332262738
TRAC_01_TC305DG,TC305DG_009_cap1,7.95774715459477,5,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,36.72886116905198,17.62985336114495
TRAC_01_TC305DG,TC305DG_010_cap1,41.8577500331685,24,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,2180.883130936399,1046.8239028494716
TRAC_01_TC305DG,TC305DG_011_cap1,5.79323992854499,5,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,16.820955261886503,8.07405852570552
TRAC_01_TC305DG,TC305DG_012_cap1,5.09295817894065,6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,12.252090572552582,5.881003474825239
TRAC_01_TC305DG,TC305DG_013_cap1,6.6845076098596,6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,23.918531175817836,11.480894964392562
TRAC_01_TC305DG,TC305DG_014_cap1,12.8278884132068,13,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,118.88456001019918,57.06458880489561
TRAC_01_TC305DG,TC305DG_015_cap1,7.4484513367007,6,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,31.213757393199323,14.982603548735675
TRAC_01_TC305DG,TC305DG_016_cap1,13.4963391741927,14,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,134.70851497847542,64.6600871896682
TRAC_01_TC305DG,TC305DG_017_cap1,20.7538045791832,16,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,388.26132007892954,186.36543363788618
TRAC_01_TC305DG,TC305DG_018_cap1,32.3721154248915,22,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1159.0030677362681,556.3214725134087
TRAC_01_TC305DG,TC305DG_019_cap1,33.5498620037715,20,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1265.5023152885994,607.4411113385277
TRAC_01_TC305DG,TC305DG_020_cap1,17.8253536262923,11,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,267.0653764143891,128.19138067890677
TRAC_01_TC305DG,TC305DG_021_cap1,20.2445087612891,18,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,365.2410190237175,175.3156891313844
TRAC_01_TC305DG,TC305DG_022_cap1,29.6028194150925,21,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,930.1288062129954,446.46182698223777
TRAC_01_TC305DG,TC305DG_023_cap1,43.7994403388896,22,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,2438.2396461888698,1170.3550301706575
TRAC_01_TC305DG,TC305DG_024_cap1,28.2659178931206,18,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,830.1774587825487,398.48518021562336
TRAC_01_TC305DG,TC305DG_025_cap1,18.2709874669496,12,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,283.79078974938227,136.2195790797035
TRAC_01_TC305DG,TC305DG_026_cap1,12.5732405042597,11,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,113.162855194335,54.318170493280796
TRAC_01_TC305DG,TC305DG_027_cap1,21.4859173174059,20,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,422.8266209556566,202.95677805871517
TRAC_01_TC305DG,TC305DG_028_cap1,31.6400026866688,21,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1095.5836613569345,525.8801574513285
TRAC_01_TC305DG,TC305DG_029_cap1,7.63943726841098,5,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,33.21962272841479,15.945418909639098
TRAC_01_TC305DG,TC305DG_030_cap1,32.3084534476548,18,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1153.4041381623256,553.6339863179163
TRAC_01_TC305DG,TC305DG_031_cap1,36.7011298769911,22,NA,NA,NA,NA,TC305DG,rm,NA,NA,NA,0.89,Rhizophora mangle,Literature,Imported,0.89,1578.2475987780529,757.5588474134654
TRAC_01_TC305DG,TC305DG_032_cap1,2.86478897565412,2.5,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_033_cap1,8.59436692696235,6,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_034_cap1,46.3459194283599,20,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_035_cap1,69.0732453018826,19,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_036_cap1,11.6183108457084,9.5,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_037_cap1,5.44309905374282,5,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_038_cap1,3.85154962282387,3,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRAC_01_TC305DG,TC305DG_039_cap1,37.4650736038322,22,NA,NA,NA,NA,TC305DG,ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
